Date,Close
6/5/14,4.74
6/6/14,4.7575
6/9/14,4.7625
6/10/14,4.7875
6/11/14,4.85
6/12/14,4.88
6/13/14,4.885
6/16/14,4.87
6/17/14,4.9025
6/18/14,4.8975
6/19/14,4.785
6/20/14,4.7325
6/23/14,4.6775
6/24/14,4.605
6/25/14,4.6525
6/26/14,4.59
6/27/14,4.595
6/30/14,4.635
7/1/14,4.6875
7/2/14,4.67
7/3/14,4.7125
7/7/14,4.675
7/8/14,4.6375
7/9/14,4.7775
7/10/14,4.7525
7/11/14,4.7625
7/14/14,4.8225
7/15/14,4.8425
7/16/14,4.8375
7/17/14,4.825
7/18/14,4.61
7/21/14,4.6375
7/22/14,4.6175
7/23/14,4.52
7/24/14,4.5275
7/25/14,4.4475
7/28/14,4.43
7/29/14,4.445
7/30/14,4.52
7/31/14,4.375
8/1/14,4.4225
8/4/14,4.4125
8/5/14,4.415
8/6/14,4.41
8/7/14,4.365
8/8/14,4.75
8/11/14,4.725
8/12/14,4.725
8/13/14,4.7525
8/14/14,4.7
8/15/14,4.76
8/18/14,4.825
8/19/14,4.8425
8/20/14,4.8125
8/21/14,4.7675
8/22/14,4.77
8/25/14,4.7775
8/26/14,4.8625
8/27/14,4.8075
8/28/14,4.8475
8/29/14,4.8625
9/2/14,4.875
9/3/14,4.92
9/4/14,5.0075
9/5/14,4.9925
9/8/14,4.9475
9/9/14,4.885
9/10/14,4.9025
9/11/14,4.8525
9/12/14,4.78
9/15/14,4.715
9/16/14,4.785
9/17/14,4.7875
9/18/14,4.86
9/19/14,4.77
9/22/14,4.7225
9/23/14,4.7025
9/24/14,4.73
9/25/14,4.6275
9/26/14,4.6375
9/29/14,4.63
9/30/14,4.6125
10/1/14,4.5675
10/2/14,4.5475
10/3/14,4.5575
10/6/14,4.53
10/7/14,4.4825
10/8/14,4.565
10/9/14,4.4775
10/10/14,4.2125
10/13/14,4.1975
10/14/14,4.295
10/15/14,4.36
10/16/14,4.3625
10/17/14,4.355
10/20/14,4.3925
10/21/14,4.58
10/22/14,4.4725
10/23/14,4.5725
10/24/14,4.62
10/27/14,4.6225
10/28/14,4.7325
10/29/14,4.7025
10/30/14,4.6725
10/31/14,4.885
11/3/14,4.9675
11/4/14,5.0325
11/5/14,5.0325
11/6/14,5.055
11/7/14,4.9475
11/10/14,5.005
11/11/14,4.945
11/12/14,4.9125
11/13/14,4.8875
11/14/14,4.9475
11/17/14,4.925
11/18/14,5.0425
11/19/14,5.0025
11/20/14,5.085
11/21/14,5.1125
11/24/14,5.145
11/25/14,5.1425
11/26/14,5.23
11/28/14,5.2425
12/1/14,5.145
12/2/14,5.1525
12/3/14,5.285
12/4/14,5.2375
12/5/14,5.2675
12/8/14,5.2
12/9/14,5.1825
12/10/14,5.0675
12/11/14,5.065
12/12/14,4.9075
12/15/14,4.8925
12/16/14,4.8375
12/17/14,5.035
12/18/14,5.055
12/19/14,5.105
12/22/14,5.195
12/23/14,5.1625
12/24/14,5.1425
12/26/14,5.1475
12/29/14,5.14
12/30/14,5.0925
12/31/14,5.0125
1/2/15,5.0325
1/5/15,4.9475
1/6/15,4.7975
1/7/15,4.785
1/8/15,4.965
1/9/15,4.985
1/12/15,4.9225
1/13/15,4.915
1/14/15,4.935
1/15/15,4.9
1/16/15,4.99
1/20/15,5.005
1/21/15,5.075
1/22/15,5.1625
1/23/15,5.1775
1/26/15,5.155
1/27/15,4.9075
1/28/15,4.8275
1/29/15,4.945
1/30/15,4.8
2/2/15,4.905
2/3/15,5.0275
2/4/15,5.04
2/5/15,5.1225
2/6/15,5.1
2/9/15,5.095
2/10/15,5.2375
2/11/15,5.2025
2/12/15,5.575
2/13/15,5.5775
2/17/15,5.595
2/18/15,5.53
2/19/15,5.545
2/20/15,5.585
2/23/15,5.54
2/24/15,5.5775
2/25/15,5.535
2/26/15,5.55
2/27/15,5.515
3/2/15,5.65
3/3/15,5.545
3/4/15,5.6075
3/5/15,5.715
3/6/15,5.6375
3/9/15,5.6525
3/10/15,5.75
3/11/15,5.72
3/12/15,5.6675
3/13/15,5.675
3/16/15,5.7425
3/17/15,5.8125
3/18/15,5.7175
3/19/15,5.805
3/20/15,5.8675
3/23/15,5.6775
3/24/15,5.6
3/25/15,5.26
3/26/15,5.2425
3/27/15,5.345
3/30/15,5.3675
3/31/15,5.2325
4/1/15,5.2525
4/2/15,5.265
4/6/15,5.4175
4/7/15,5.465
4/8/15,5.505
4/9/15,5.6325
4/10/15,5.69
4/13/15,5.6375
4/14/15,5.59
4/15/15,5.6575
